About,Hakkında,
Activate,Etkinleştir,
Apps,Uygulamalar,
Error Message,Hata Mesajı,
Frappe Support,Frappe Desteği,
Keyboard Shortcuts,Klavye Kısayolları,
License,Lisans,
Log out,Çıkış,
My Profile,Profilim,
My Settings,Ayarlarım,
Processing...,İşleniyor ...,
Reason,Nedeni,
Reload,Yeniden Yükle,
Response,Yanıt,
Session Defaults,Oturum Varsayılanları,
Status,Durum,
Subject,Konu,
Submit,Gönder,
System Manager,Sistem Yöneticisi,
Ticket,Talep,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
View Website,Websitesine Git,
